date,new_cases_per_million,total_cases_per_million,total_deaths_per_million,new_vaccinations_smoothed_per_million
2021-02-25,131.672,28968.187,827.6410000000001,1785.0
2021-02-26,112.635,29080.822,834.7539999999999,1879.0
2021-02-27,91.557,29172.379,836.58,1939.0
2021-02-28,73.021,29245.4,837.296,1977.0
2021-03-01,62.948,29308.347999999998,841.617,2037.0
2021-03-02,77.485,29385.833,846.535,2127.0
2021-03-03,129.524,29515.356,850.819,2243.0
2021-03-04,135.981,29651.337000000003,854.03,2334.0
2021-03-05,114.354,29765.691000000003,857.587,2436.0
2021-03-06,98.635,29864.325,858.768,2528.0
2021-03-07,77.628,29941.953999999998,859.1619999999999,2600.0
2021-03-08,61.217,30003.171000000002,862.17,2674.0
2021-03-09,81.567,30084.737999999998,865.727,2726.0
2021-03-10,252.59,30337.327999999998,869.5939999999999,2794.0
2021-03-11,56.63399999999999,30393.962000000003,872.721,2859.0
2021-03-12,152.416,30546.377,875.442,2953.0
2021-03-13,126.134,30672.511000000002,875.693,3028.0
2021-03-14,107.15700000000001,30779.667999999998,876.815,3063.0
2021-03-15,78.094,30857.762000000002,879.655,3079.0
2021-03-16,211.007,31068.769,882.6510000000001,2957.0
2021-03-17,91.963,31160.731,883.737,2823.0
2021-03-18,340.029,31500.761000000002,888.0219999999999,2675.0
2021-03-19,184.713,31685.474,890.4810000000001,2539.0
2021-03-20,173.05200000000002,31858.526,891.6510000000001,2494.0
2021-03-21,9.166,31867.693,892.247,2485.0
2021-03-22,98.59899999999999,31966.291,895.2669999999999,2516.0
2021-03-23,250.275,32216.566000000003,898.203,2718.0
2021-03-24,283.551,32500.117000000002,900.936,2938.0
2021-03-25,258.045,32758.161,903.1439999999999,3181.0
2021-03-26,246.933,33005.094,905.0419999999999,3404.0
2021-03-27,210.398,33215.492999999995,906.081,3518.0
2021-03-28,20.613000000000003,33236.105,906.6060000000001,3570.0
2021-03-29,122.899,33359.005,908.7539999999999,3643.0
2021-03-30,282.644,33641.648,911.738,3695.0
2021-03-31,298.55400000000003,33940.202000000005,914.125,3708.0
2021-04-01,270.684,34210.886,916.918,3684.0
2021-04-02,191.361,34402.247,918.314,3437.0
2021-04-03,43.839,34446.086,919.15,3344.0
2021-04-04,122.935,34569.022000000004,919.747,3342.0
2021-04-05,71.374,34640.396,920.654,3242.0
2021-04-06,90.626,34731.022000000004,921.955,3327.0
2021-04-07,362.56300000000005,35093.585,928.0419999999999,3900.0
2021-04-08,316.409,35409.994,931.551,4597.0
2021-04-09,285.675,35695.669,934.487,5268.0
2021-04-10,223.52700000000002,35919.197,935.7639999999999,5500.0
2021-04-11,32.297,35951.494,936.934,5610.0
2021-04-12,148.549,36100.043,940.467,5893.0
